label,message
"Show me Toyota sales by powertrain","Show me Toyota sales by powertrain"
"Compare Lexus sales across European countries","Compare Lexus sales across European countries"
"Top 10 performing models this year","Top 10 performing models this year"
"Monthly sales trends for hybrid vehicles","Monthly sales trends for hybrid vehicles"
"European market performance analysis","European market performance analysis"
"Monthly RAV4 sales in Germany in 2024","Can you help me get the monthly sales of the RAV4 in Germany in 2024?"
"Top countries by vehicle sales","Show me the top countries by vehicle sales"
"Toyota warranty for Europe","What is the standard Toyota warranty for Europe?"
"Models from Toyota we sold in 2023","What are the models from Toyota we sold in 2023?"
"Toyota sales in Belgium in 2025","Can you help me get the monthly sales of the Toyota in Belgium in 2025?"
"Monthly Camaro sales in Belgium in 2023","Can you help me get the monthly sales of the Camaro in Belgium in 2023?"
"RAV4 maintenance schedule","What is the maintenance schedule for my RAV4?"
"Engine oil check procedure","How do I check the engine oil level in my Toyota vehicle?"
"Tire repair kit location","Where is the tire repair kit located in my vehicle?"
"Compare Toyota vs Lexus warranty","What are the key warranty differences between Toyota and Lexus vehicles?"
"Toyota contract terms","What are the key terms of the Toyota contract?"
"Safety features from Yaris Cross","What safety features does the Yaris Cross have?"
